datetime,agency_cd,site_no,datetime,178581_00060_00001,178581_00060_00001_cd,178582_00060_00002,178582_00060_00002_cd
2004-11-12,USGS,8180000,2004-11-12,22.4,A,21.1,A
2004-11-13,USGS,8180000,2004-11-13,23.1,A,21.1,A
2004-11-14,USGS,8180000,2004-11-14,26.0,A,21.7,A
2004-11-15,USGS,8180000,2004-11-15,50.6,A,23.1,A
2004-11-16,USGS,8180000,2004-11-16,52.8,A,45.1,A
2004-11-17,USGS,8180000,2004-11-17,51.7,A,0.0,A
2004-11-18,USGS,8180000,2004-11-18,0.0,A,0.0,A
2004-11-19,USGS,8180000,2004-11-19,0.0,A,0.0,A
2004-11-20,USGS,8180000,2004-11-20,0.0,A,0.0,A
2004-11-21,USGS,8180000,2004-11-21,0.0,A,0.0,A
2004-11-22,USGS,8180000,2004-11-22,3.2,A,0.0,A
2004-11-23,USGS,8180000,2004-11-23,0.0,A,0.0,A
2004-11-24,USGS,8180000,2004-11-24,0.0,A,0.0,A
2004-11-25,USGS,8180000,2004-11-25,0.0,A,0.0,A
2004-11-26,USGS,8180000,2004-11-26,0.0,A,0.0,A
2004-11-27,USGS,8180000,2004-11-27,0.0,A,0.0,A
2004-11-28,USGS,8180000,2004-11-28,0.0,A,0.0,A
2004-11-29,USGS,8180000,2004-11-29,17.9,A,0.0,A
2004-11-30,USGS,8180000,2004-11-30,21.1,A,16.2,A
2004-12-01,USGS,8180000,2004-12-01,21.1,A,19.8,A
2004-12-02,USGS,8180000,2004-12-02,21.1,A,19.8,A
2004-12-03,USGS,8180000,2004-12-03,21.7,A,20.4,A
2004-12-04,USGS,8180000,2004-12-04,21.7,A,20.4,A
2004-12-05,USGS,8180000,2004-12-05,21.7,A,21.1,A
2004-12-06,USGS,8180000,2004-12-06,21.7,A,20.4,A
2004-12-07,USGS,8180000,2004-12-07,21.7,A,21.1,A
2004-12-08,USGS,8180000,2004-12-08,21.7,A,20.4,A
2004-12-09,USGS,8180000,2004-12-09,21.1,A,19.8,A
2004-12-10,USGS,8180000,2004-12-10,21.1,A,19.8,A
2004-12-11,USGS,8180000,2004-12-11,21.1,A,19.8,A
2004-12-12,USGS,8180000,2004-12-12,21.1,A,19.8,A
2004-12-13,USGS,8180000,2004-12-13,21.1,A,19.8,A
2004-12-14,USGS,8180000,2004-12-14,21.1,A,19.8,A
2004-12-16,USGS,8180000,2004-12-16,21.1,A,19.8,A
2004-12-17,USGS,8180000,2004-12-17,21.1,A,19.8,A
2004-12-18,USGS,8180000,2004-12-18,21.1,A,19.8,A
2004-12-19,USGS,8180000,2004-12-19,21.1,A,19.8,A
2004-12-20,USGS,8180000,2004-12-20,51.7,A,19.8,A
2004-12-21,USGS,8180000,2004-12-21,51.7,A,48.3,A
2004-12-22,USGS,8180000,2004-12-22,51.7,A,48.3,A
2004-12-23,USGS,8180000,2004-12-23,52.8,A,47.2,A
2004-12-27,USGS,8180000,2004-12-27,41.1,A,35.6,A
2004-12-28,USGS,8180000,2004-12-28,40.1,A,35.6,A
2004-12-29,USGS,8180000,2004-12-29,40.1,A,21.1,A
2004-12-30,USGS,8180000,2004-12-30,21.7,A,21.1,A
2004-12-31,USGS,8180000,2004-12-31,21.7,A,21.1,A
2005-01-16,USGS,8180000,2005-01-16,21.1,A,20.4,A
2005-01-17,USGS,8180000,2005-01-17,21.1,A,19.8,A
2005-01-18,USGS,8180000,2005-01-18,21.1,A,19.8,A
2005-01-20,USGS,8180000,2005-01-20,61.2,A,54.0,A
2005-01-21,USGS,8180000,2005-01-21,61.2,A,54.0,A
2005-01-22,USGS,8180000,2005-01-22,61.2,A,56.3,A
2005-10-01,USGS,8180000,2005-10-01,121.0,A,114.0,A
2005-10-02,USGS,8180000,2005-10-02,121.0,A,114.0,A
2005-10-03,USGS,8180000,2005-10-03,125.0,A,115.0,A
2005-10-04,USGS,8180000,2005-10-04,127.0,A,115.0,A
2005-10-05,USGS,8180000,2005-10-05,127.0,A,115.0,A
2005-10-06,USGS,8180000,2005-10-06,123.0,A,115.0,A
2005-10-07,USGS,8180000,2005-10-07,121.0,A,114.0,A
2005-10-08,USGS,8180000,2005-10-08,121.0,A,112.0,A
2005-10-09,USGS,8180000,2005-10-09,119.0,A,112.0,A
2005-10-10,USGS,8180000,2005-10-10,121.0,A,114.0,A
2005-10-11,USGS,8180000,2005-10-11,121.0,A,57.5,A
2005-10-12,USGS,8180000,2005-10-12,63.7,A,58.7,A
2005-10-13,USGS,8180000,2005-10-13,63.7,A,60.0,A
2005-10-14,USGS,8180000,2005-10-14,92.0,A,60.0,A
2005-10-15,USGS,8180000,2005-10-15,88.9,A,84.4,A
2005-10-16,USGS,8180000,2005-10-16,88.9,A,84.4,A
2005-10-17,USGS,8180000,2005-10-17,87.4,A,52.8,A
2005-10-18,USGS,8180000,2005-10-18,57.5,A,54.0,A
2005-10-19,USGS,8180000,2005-10-19,60.0,A,55.2,A
2005-10-20,USGS,8180000,2005-10-20,60.0,A,56.3,A
2005-10-21,USGS,8180000,2005-10-21,61.2,A,56.3,A
2005-10-22,USGS,8180000,2005-10-22,60.0,A,56.3,A
2005-10-23,USGS,8180000,2005-10-23,60.0,A,56.3,A
2005-10-24,USGS,8180000,2005-10-24,87.4,A,57.5,A
2005-10-25,USGS,8180000,2005-10-25,84.4,A,78.8,A
2005-10-26,USGS,8180000,2005-10-26,82.4,A,78.8,A
2005-10-27,USGS,8180000,2005-10-27,81.2,A,77.6,A
2005-10-28,USGS,8180000,2005-10-28,81.2,A,78.8,A
2005-10-29,USGS,8180000,2005-10-29,81.2,A,72.9,A
2005-10-30,USGS,8180000,2005-10-30,75.2,A,71.8,A
2005-10-31,USGS,8180000,2005-10-31,76.4,A,71.8,A
2005-11-01,USGS,8180000,2005-11-01,76.4,A,70.7,A
2005-11-02,USGS,8180000,2005-11-02,75.2,A,71.8,A
2005-11-03,USGS,8180000,2005-11-03,75.2,A,71.8,A
2005-11-04,USGS,8180000,2005-11-04,75.2,A,69.5,A
2005-11-05,USGS,8180000,2005-11-05,75.2,A,70.7,A
2005-11-06,USGS,8180000,2005-11-06,74.1,A,69.5,A
2005-11-07,USGS,8180000,2005-11-07,74.1,A,69.5,A
2005-11-08,USGS,8180000,2005-11-08,72.9,A,68.4,A
2005-11-09,USGS,8180000,2005-11-09,72.9,A,69.5,A
2005-11-10,USGS,8180000,2005-11-10,71.8,A,67.3,A
2005-11-11,USGS,8180000,2005-11-11,71.8,A,67.3,A
2005-11-12,USGS,8180000,2005-11-12,71.8,A,67.3,A
2005-11-13,USGS,8180000,2005-11-13,71.8,A,67.3,A
2005-11-14,USGS,8180000,2005-11-14,70.7,A,66.2,A
2005-11-15,USGS,8180000,2005-11-15,70.7,A,67.3,A
2005-11-16,USGS,8180000,2005-11-16,70.7,A,65.1,A
2005-11-18,USGS,8180000,2005-11-18,69.5,A,66.2,A
2005-11-19,USGS,8180000,2005-11-19,69.5,A,66.2,A
2005-11-20,USGS,8180000,2005-11-20,69.5,A,42.0,A
2005-11-21,USGS,8180000,2005-11-21,43.5,A,42.0,A
2005-11-22,USGS,8180000,2005-11-22,44.4,A,22.5,A
2005-11-23,USGS,8180000,2005-11-23,24.2,A,22.5,A
2005-11-24,USGS,8180000,2005-11-24,24.2,A,23.0,A
2005-11-25,USGS,8180000,2005-11-25,24.2,A,23.6,A
2005-11-26,USGS,8180000,2005-11-26,26.1,A,24.2,A
2005-11-27,USGS,8180000,2005-11-27,26.1,A,24.2,A
2005-11-28,USGS,8180000,2005-11-28,26.1,A,24.8,A
2005-11-30,USGS,8180000,2005-11-30,50.9,A,23.0,A
2005-12-01,USGS,8180000,2005-12-01,49.0,A,46.2,A
2005-12-02,USGS,8180000,2005-12-02,48.0,A,46.2,A
2005-12-03,USGS,8180000,2005-12-03,47.1,A,46.2,A
2005-12-04,USGS,8180000,2005-12-04,47.1,A,43.5,A
2005-12-11,USGS,8180000,2005-12-11,43.5,A,42.0,A
2005-12-12,USGS,8180000,2005-12-12,43.5,A,40.4,A
2005-12-13,USGS,8180000,2005-12-13,43.5,A,41.2,A
2005-12-14,USGS,8180000,2005-12-14,42.7,A,40.4,A
2005-12-15,USGS,8180000,2005-12-15,42.7,A,40.4,A
2005-12-16,USGS,8180000,2005-12-16,42.0,A,40.4,A
2005-12-17,USGS,8180000,2005-12-17,41.2,A,39.7,A
2005-12-18,USGS,8180000,2005-12-18,41.2,A,39.0,A
2005-12-19,USGS,8180000,2005-12-19,40.4,A,18.0,A
2005-12-20,USGS,8180000,2005-12-20,20.8,A,10.8,A
2005-12-24,USGS,8180000,2005-12-24,10.8,A,9.49,A
2005-12-25,USGS,8180000,2005-12-25,10.3,A,9.49,A
2005-12-28,USGS,8180000,2005-12-28,23.6,A,21.9,A
2005-12-29,USGS,8180000,2005-12-29,23.6,A,21.9,A
2005-12-30,USGS,8180000,2005-12-30,43.5,A,21.3,A
2005-12-31,USGS,8180000,2005-12-31,42.0,A,39.0,A
2006-01-01,USGS,8180000,2006-01-01,41.2,A,39.0,A
2006-01-02,USGS,8180000,2006-01-02,41.2,A,38.2,A
2006-01-03,USGS,8180000,2006-01-03,41.2,A,38.2,A
2006-01-04,USGS,8180000,2006-01-04,40.4,A,38.2,A
2006-01-05,USGS,8180000,2006-01-05,60.9,A,37.5,A
2006-01-09,USGS,8180000,2006-01-09,53.8,A,50.9,A
2006-01-12,USGS,8180000,2006-01-12,49.9,A,47.1,A
2006-01-13,USGS,8180000,2006-01-13,47.1,A,45.3,A
2006-01-15,USGS,8180000,2006-01-15,46.2,A,44.4,A
2006-01-16,USGS,8180000,2006-01-16,46.2,A,42.7,A
2006-01-19,USGS,8180000,2006-01-19,42.0,A,0.0,A
2006-01-20,USGS,8180000,2006-01-20,0.0,A,0.0,A
2006-01-21,USGS,8180000,2006-01-21,0.0,A,0.0,A
2006-01-22,USGS,8180000,2006-01-22,0.0,A,0.0,A
2006-01-23,USGS,8180000,2006-01-23,0.0,A,0.0,A
2006-01-24,USGS,8180000,2006-01-24,0.0,A,0.0,A
2006-01-25,USGS,8180000,2006-01-25,0.0,A,0.0,A
2006-01-26,USGS,8180000,2006-01-26,0.0,A,0.0,A
2006-01-27,USGS,8180000,2006-01-27,0.0,A,0.0,A
2006-01-28,USGS,8180000,2006-01-28,0.0,A,0.0,A
2006-01-29,USGS,8180000,2006-01-29,0.0,A,0.0,A
2006-01-30,USGS,8180000,2006-01-30,0.0,A,0.0,A
2006-01-31,USGS,8180000,2006-01-31,0.0,A,0.0,A
2006-02-01,USGS,8180000,2006-02-01,0.0,A,0.0,A
2006-02-02,USGS,8180000,2006-02-02,28.6,A,0.0,A
2006-02-03,USGS,8180000,2006-02-03,43.5,A,26.7,A
2006-02-06,USGS,8180000,2006-02-06,41.2,A,39.0,A
2006-02-10,USGS,8180000,2006-02-10,71.8,A,54.7,A
2006-02-15,USGS,8180000,2006-02-15,74.1,A,66.2,A
2006-02-16,USGS,8180000,2006-02-16,68.4,A,61.9,A
2006-02-21,USGS,8180000,2006-02-21,69.5,A,25.4,A
2006-02-22,USGS,8180000,2006-02-22,70.7,A,67.3,A
2006-02-23,USGS,8180000,2006-02-23,70.7,A,67.3,A
2006-02-24,USGS,8180000,2006-02-24,70.7,A,67.3,A
2006-02-25,USGS,8180000,2006-02-25,71.8,A,68.4,A
2006-02-26,USGS,8180000,2006-02-26,71.8,A,68.4,A
2006-02-28,USGS,8180000,2006-02-28,72.9,A,69.5,A
2006-03-01,USGS,8180000,2006-03-01,72.9,A,69.5,A
2006-03-02,USGS,8180000,2006-03-02,74.1,A,68.4,A
2006-03-03,USGS,8180000,2006-03-03,74.1,A,68.4,A
2006-03-04,USGS,8180000,2006-03-04,75.2,A,69.5,A
2006-03-05,USGS,8180000,2006-03-05,76.4,A,70.7,A
2006-03-06,USGS,8180000,2006-03-06,97.7,A,71.8,A
2006-03-07,USGS,8180000,2006-03-07,106.0,A,93.8,A
2006-03-08,USGS,8180000,2006-03-08,113.0,A,100.0,A
2006-03-09,USGS,8180000,2006-03-09,120.0,A,109.0,A
2006-03-10,USGS,8180000,2006-03-10,123.0,A,113.0,A
2006-03-11,USGS,8180000,2006-03-11,125.0,A,119.0,A
2006-03-12,USGS,8180000,2006-03-12,126.0,A,119.0,A
2006-03-13,USGS,8180000,2006-03-13,126.0,A,117.0,A
2006-03-14,USGS,8180000,2006-03-14,125.0,A,119.0,A
2006-03-15,USGS,8180000,2006-03-15,125.0,A,116.0,A
2006-03-16,USGS,8180000,2006-03-16,126.0,A,119.0,A
2006-03-17,USGS,8180000,2006-03-17,126.0,A,119.0,A
2006-03-18,USGS,8180000,2006-03-18,128.0,A,120.0,A
2006-03-19,USGS,8180000,2006-03-19,128.0,A,120.0,A
2006-03-20,USGS,8180000,2006-03-20,131.0,A,120.0,A
2006-03-21,USGS,8180000,2006-03-21,129.0,A,120.0,A
2006-03-22,USGS,8180000,2006-03-22,128.0,A,119.0,A
2006-03-26,USGS,8180000,2006-03-26,129.0,A,119.0,A
2006-03-27,USGS,8180000,2006-03-27,128.0,A,24.8,A
2006-03-28,USGS,8180000,2006-03-28,26.7,A,24.8,A
2006-03-29,USGS,8180000,2006-03-29,26.7,A,24.8,A
2006-03-30,USGS,8180000,2006-03-30,52.8,A,25.4,A
2006-03-31,USGS,8180000,2006-03-31,50.9,A,48.0,A
2006-04-01,USGS,8180000,2006-04-01,50.9,A,48.0,A
2006-04-02,USGS,8180000,2006-04-02,49.9,A,47.1,A
2006-04-03,USGS,8180000,2006-04-03,113.0,A,47.1,A
2006-04-04,USGS,8180000,2006-04-04,109.0,A,97.7,A
2006-04-05,USGS,8180000,2006-04-05,113.0,A,102.0,A
2006-04-06,USGS,8180000,2006-04-06,119.0,A,110.0,A
2006-04-07,USGS,8180000,2006-04-07,122.0,A,111.0,A
2006-04-08,USGS,8180000,2006-04-08,122.0,A,113.0,A
2006-04-09,USGS,8180000,2006-04-09,123.0,A,114.0,A
2006-04-10,USGS,8180000,2006-04-10,123.0,A,116.0,A
2006-04-11,USGS,8180000,2006-04-11,126.0,A,119.0,A
2006-04-12,USGS,8180000,2006-04-12,129.0,A,120.0,A
2006-04-13,USGS,8180000,2006-04-13,131.0,A,120.0,A
2006-04-14,USGS,8180000,2006-04-14,131.0,A,123.0,A
2006-04-15,USGS,8180000,2006-04-15,132.0,A,120.0,A
2006-04-16,USGS,8180000,2006-04-16,134.0,A,123.0,A
2006-04-17,USGS,8180000,2006-04-17,132.0,A,123.0,A
2006-04-18,USGS,8180000,2006-04-18,135.0,A,123.0,A
2006-04-19,USGS,8180000,2006-04-19,134.0,A,123.0,A
2006-04-20,USGS,8180000,2006-04-20,135.0,A,123.0,A
2006-04-21,USGS,8180000,2006-04-21,139.0,A,123.0,A
2006-04-22,USGS,8180000,2006-04-22,135.0,A,125.0,A
2006-04-23,USGS,8180000,2006-04-23,137.0,A,125.0,A
2006-04-24,USGS,8180000,2006-04-24,137.0,A,128.0,A
2006-04-25,USGS,8180000,2006-04-25,139.0,A,129.0,A
2006-04-26,USGS,8180000,2006-04-26,139.0,A,126.0,A
2006-04-27,USGS,8180000,2006-04-27,140.0,A,128.0,A
2006-04-28,USGS,8180000,2006-04-28,142.0,A,131.0,A
2006-04-29,USGS,8180000,2006-04-29,142.0,A,129.0,A
2006-04-30,USGS,8180000,2006-04-30,142.0,A,131.0,A
2006-05-01,USGS,8180000,2006-05-01,142.0,A,131.0,A
2006-05-02,USGS,8180000,2006-05-02,142.0,A,132.0,A
2006-05-03,USGS,8180000,2006-05-03,142.0,A,44.4,A
2006-05-04,USGS,8180000,2006-05-04,51.8,A,45.3,A
2006-05-05,USGS,8180000,2006-05-05,48.0,A,42.7,A
2006-05-06,USGS,8180000,2006-05-06,45.3,A,42.7,A
2006-05-07,USGS,8180000,2006-05-07,45.3,A,42.7,A
2006-05-08,USGS,8180000,2006-05-08,45.3,A,42.7,A
2006-05-09,USGS,8180000,2006-05-09,44.4,A,42.0,A
2006-05-10,USGS,8180000,2006-05-10,44.4,A,42.0,A
2006-05-11,USGS,8180000,2006-05-11,44.4,A,42.0,A
2006-05-12,USGS,8180000,2006-05-12,44.4,A,41.2,A
2006-05-13,USGS,8180000,2006-05-13,42.7,A,40.4,A
2006-05-14,USGS,8180000,2006-05-14,42.0,A,39.7,A
2006-05-15,USGS,8180000,2006-05-15,91.2,A,39.7,A
2006-05-16,USGS,8180000,2006-05-16,87.4,A,80.0,A
2006-05-17,USGS,8180000,2006-05-17,81.2,A,72.9,A
2006-05-18,USGS,8180000,2006-05-18,75.2,A,67.3,A
2006-05-19,USGS,8180000,2006-05-19,69.5,A,63.0,A
2006-05-20,USGS,8180000,2006-05-20,92.5,A,60.9,A
2006-05-21,USGS,8180000,2006-05-21,116.0,A,89.9,A
2006-05-22,USGS,8180000,2006-05-22,128.0,A,116.0,A
2006-05-23,USGS,8180000,2006-05-23,140.0,A,123.0,A
2006-05-24,USGS,8180000,2006-05-24,143.0,A,132.0,A
2006-05-25,USGS,8180000,2006-05-25,143.0,A,134.0,A
2006-05-26,USGS,8180000,2006-05-26,147.0,A,137.0,A
2006-05-27,USGS,8180000,2006-05-27,153.0,A,143.0,A
2006-05-28,USGS,8180000,2006-05-28,157.0,A,148.0,A
2006-05-29,USGS,8180000,2006-05-29,160.0,A,150.0,A
2006-05-30,USGS,8180000,2006-05-30,162.0,A,152.0,A
2006-05-31,USGS,8180000,2006-05-31,164.0,A,152.0,A
2006-06-01,USGS,8180000,2006-06-01,165.0,A,155.0,A
2006-06-02,USGS,8180000,2006-06-02,165.0,A,157.0,A
2006-06-03,USGS,8180000,2006-06-03,167.0,A,155.0,A
2006-06-04,USGS,8180000,2006-06-04,167.0,A,158.0,A
2006-06-05,USGS,8180000,2006-06-05,169.0,A,158.0,A
2006-06-06,USGS,8180000,2006-06-06,167.0,A,153.0,A
2006-06-07,USGS,8180000,2006-06-07,167.0,A,157.0,A
2006-06-08,USGS,8180000,2006-06-08,165.0,A,142.0,A
2006-06-09,USGS,8180000,2006-06-09,152.0,A,143.0,A
2006-06-10,USGS,8180000,2006-06-10,150.0,A,143.0,A
2006-06-11,USGS,8180000,2006-06-11,153.0,A,143.0,A
2006-06-12,USGS,8180000,2006-06-12,153.0,A,145.0,A
2006-06-13,USGS,8180000,2006-06-13,153.0,A,147.0,A
2006-06-14,USGS,8180000,2006-06-14,162.0,A,145.0,A
2006-06-15,USGS,8180000,2006-06-15,164.0,A,153.0,A
2006-06-16,USGS,8180000,2006-06-16,158.0,A,150.0,A
2006-06-17,USGS,8180000,2006-06-17,160.0,A,148.0,A
2006-06-18,USGS,8180000,2006-06-18,158.0,A,148.0,A
2006-06-19,USGS,8180000,2006-06-19,157.0,A,147.0,A
2006-06-20,USGS,8180000,2006-06-20,155.0,A,147.0,A
2006-06-21,USGS,8180000,2006-06-21,153.0,A,145.0,A
2006-06-22,USGS,8180000,2006-06-22,155.0,A,145.0,A
2006-06-23,USGS,8180000,2006-06-23,152.0,A,140.0,A
2006-06-24,USGS,8180000,2006-06-24,152.0,A,142.0,A
2006-06-25,USGS,8180000,2006-06-25,150.0,A,139.0,A
2006-06-26,USGS,8180000,2006-06-26,155.0,A,140.0,A
2006-06-27,USGS,8180000,2006-06-27,153.0,A,142.0,A
2006-06-28,USGS,8180000,2006-06-28,155.0,A,143.0,A
2006-06-29,USGS,8180000,2006-06-29,155.0,A,145.0,A
2006-06-30,USGS,8180000,2006-06-30,153.0,A,143.0,A
2006-07-01,USGS,8180000,2006-07-01,155.0,A,143.0,A
2006-07-02,USGS,8180000,2006-07-02,155.0,A,143.0,A
2006-07-03,USGS,8180000,2006-07-03,155.0,A,143.0,A
2006-07-04,USGS,8180000,2006-07-04,153.0,A,143.0,A
2006-07-05,USGS,8180000,2006-07-05,152.0,A,142.0,A
2006-07-06,USGS,8180000,2006-07-06,152.0,A,142.0,A
2006-07-07,USGS,8180000,2006-07-07,150.0,A,139.0,A
2006-07-08,USGS,8180000,2006-07-08,148.0,A,139.0,A
2006-07-09,USGS,8180000,2006-07-09,150.0,A,140.0,A
2006-07-10,USGS,8180000,2006-07-10,150.0,A,142.0,A
2006-07-11,USGS,8180000,2006-07-11,150.0,A,142.0,A
2006-07-12,USGS,8180000,2006-07-12,148.0,A,140.0,A
2006-07-13,USGS,8180000,2006-07-13,145.0,A,137.0,A
2006-07-14,USGS,8180000,2006-07-14,147.0,A,139.0,A
2006-07-15,USGS,8180000,2006-07-15,148.0,A,140.0,A
2006-07-16,USGS,8180000,2006-07-16,148.0,A,140.0,A
2006-07-17,USGS,8180000,2006-07-17,150.0,A,142.0,A
2006-07-18,USGS,8180000,2006-07-18,152.0,A,142.0,A
2006-07-19,USGS,8180000,2006-07-19,153.0,A,143.0,A
2006-07-20,USGS,8180000,2006-07-20,152.0,A,140.0,A
2006-07-21,USGS,8180000,2006-07-21,152.0,A,145.0,A
2006-07-22,USGS,8180000,2006-07-22,152.0,A,142.0,A
2006-07-23,USGS,8180000,2006-07-23,153.0,A,142.0,A
2006-07-24,USGS,8180000,2006-07-24,147.0,A,140.0,A
2006-07-25,USGS,8180000,2006-07-25,147.0,A,140.0,A
2006-07-26,USGS,8180000,2006-07-26,147.0,A,132.0,A
2006-07-27,USGS,8180000,2006-07-27,140.0,A,129.0,A
2006-07-28,USGS,8180000,2006-07-28,137.0,A,126.0,A
2006-07-29,USGS,8180000,2006-07-29,137.0,A,129.0,A
2006-07-30,USGS,8180000,2006-07-30,137.0,A,129.0,A
2006-07-31,USGS,8180000,2006-07-31,137.0,A,128.0,A
2006-08-01,USGS,8180000,2006-08-01,135.0,A,129.0,A
2006-08-02,USGS,8180000,2006-08-02,139.0,A,129.0,A
2006-08-03,USGS,8180000,2006-08-03,140.0,A,129.0,A
2006-08-04,USGS,8180000,2006-08-04,142.0,A,132.0,A
2006-08-05,USGS,8180000,2006-08-05,147.0,A,135.0,A
2006-08-06,USGS,8180000,2006-08-06,147.0,A,139.0,A
2006-08-07,USGS,8180000,2006-08-07,152.0,A,142.0,A
2006-08-08,USGS,8180000,2006-08-08,150.0,A,142.0,A
2006-08-09,USGS,8180000,2006-08-09,148.0,A,137.0,A
2006-08-10,USGS,8180000,2006-08-10,143.0,A,135.0,A
2006-08-11,USGS,8180000,2006-08-11,140.0,A,129.0,A
2006-08-12,USGS,8180000,2006-08-12,139.0,A,131.0,A
2006-08-13,USGS,8180000,2006-08-13,140.0,A,131.0,A
2006-08-14,USGS,8180000,2006-08-14,140.0,A,131.0,A
2006-08-15,USGS,8180000,2006-08-15,143.0,A,134.0,A
2006-08-16,USGS,8180000,2006-08-16,143.0,A,134.0,A
2006-08-17,USGS,8180000,2006-08-17,142.0,A,134.0,A
2006-08-18,USGS,8180000,2006-08-18,143.0,A,134.0,A
2006-08-19,USGS,8180000,2006-08-19,148.0,A,134.0,A
2006-08-20,USGS,8180000,2006-08-20,143.0,A,135.0,A
2006-08-21,USGS,8180000,2006-08-21,143.0,A,135.0,A
2006-08-22,USGS,8180000,2006-08-22,143.0,A,134.0,A
2006-08-23,USGS,8180000,2006-08-23,143.0,A,134.0,A
2006-08-24,USGS,8180000,2006-08-24,142.0,A,134.0,A
2006-08-25,USGS,8180000,2006-08-25,143.0,A,137.0,A
2006-08-26,USGS,8180000,2006-08-26,143.0,A,135.0,A
2006-08-27,USGS,8180000,2006-08-27,142.0,A,135.0,A
2006-08-28,USGS,8180000,2006-08-28,143.0,A,122.0,A
2006-08-29,USGS,8180000,2006-08-29,123.0,A,89.9,A
2006-08-30,USGS,8180000,2006-08-30,91.2,A,63.0,A
2006-08-31,USGS,8180000,2006-08-31,63.0,A,45.3,A
2006-09-01,USGS,8180000,2006-09-01,46.2,A,39.0,A
2006-09-02,USGS,8180000,2006-09-02,49.9,A,42.7,A
2006-09-03,USGS,8180000,2006-09-03,54.7,A,49.0,A
2006-09-04,USGS,8180000,2006-09-04,58.8,A,52.8,A
2006-09-05,USGS,8180000,2006-09-05,64.0,A,56.7,A
2006-09-06,USGS,8180000,2006-09-06,64.0,A,53.8,A
2006-09-07,USGS,8180000,2006-09-07,54.7,A,39.0,A
2006-09-08,USGS,8180000,2006-09-08,39.7,A,29.9,A
2006-09-09,USGS,8180000,2006-09-09,29.9,A,24.2,A
2006-09-10,USGS,8180000,2006-09-10,24.2,A,19.1,A
2006-09-11,USGS,8180000,2006-09-11,23.6,A,18.0,A
2006-09-12,USGS,8180000,2006-09-12,21.3,A,17.5,A
2006-09-13,USGS,8180000,2006-09-13,18.0,A,15.0,A
2006-09-14,USGS,8180000,2006-09-14,15.0,A,13.0,A
2006-09-15,USGS,8180000,2006-09-15,13.0,A,11.6,A
2006-09-16,USGS,8180000,2006-09-16,11.6,A,10.3,A
2006-09-17,USGS,8180000,2006-09-17,10.8,A,9.91,A
